MolLogP,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings
1.0482,83.0178,315.369,315.1470582,23,294.201,1,5,5,1,5,1,122,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f640>
1.3511,63.0004,238.287,238.1317424,17,220.143,2,5,3,2,5,5,94,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f6c0>
4.4022,90.84,309.494,309.2667794,22,274.214,0,3,3,0,3,7,128,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f740>
1.08269,30.5977,114.173,114.0251692,7,108.125,1,2,2,1,3,0,38,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f7c0>
3.1732,95.0268,324.424,324.183778,24,300.232,1,4,4,1,4,4,126,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f840>
1.9273,70.8897,254.355,254.1088988,17,236.211,1,4,2,1,5,5,94,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f8c0>
1.9273,70.8897,254.355,254.1088988,17,236.211,1,4,2,1,5,5,94,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f940>
0.424,47.8721,178.191,178.0742276,13,168.111,3,4,2,3,4,2,68,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f9c0>
-2.2131,63.3076,254.246,254.1015049,18,240.134,2,8,8,2,8,3,98,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0fa40>
3.8484,126.291,423.642,423.3460923,30,378.282,0,6,6,0,6,18,174,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0fac0>
3.6212,86.22,296.552,296.0509326,16,276.392,0,2,4,0,6,4,94,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0fb40>
0.8608,70.1133,284.357,284.0962026,19,266.213,0,5,4,0,6,7,106,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0fbc0>
4.2394,87.162,284.428,284.1347196,20,264.268,0,2,3,0,3,3,104,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0fc40>
0.645,46.9933,167.208,167.0946287,12,154.104,3,3,3,3,3,3,66,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0fcc0>
3.1542,76.1952,261.365,261.172879,19,238.181,1,3,3,1,3,5,104,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0fd40>
2.6584,86.835,285.391,285.1841124,21,262.207,0,4,4,0,4,7,112,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0fdc0>
1.979,52.2898,166.244,166.1226406,12,150.116,1,2,1,1,2,2,66,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0fe40>
4.1167,86.933,334.257,333.0728264,20,314.097,0,2,2,0,3,6,106,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0fec0>
-2.401,113.004,452.431,452.1567629,33,432.271,5,13,12,5,13,9,172,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0ff40>
5.8678,110.751,380.871,380.1179222,27,359.703,0,3,3,0,4,6,138,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18040>
-3.4005,115.5247,471.43,471.1513432,34,450.262,6,14,11,6,14,10,180,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f180c0>
4.3587,89.9824,278.419,278.1903262,21,254.227,0,1,0,0,1,2,108,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18140>
2.9712,58.8808,200.237,200.0837296,15,188.141,1,2,2,1,2,3,76,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f181c0>
1.7816,95.1424,362.466,362.2093241,26,332.226,3,5,5,3,5,2,144,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18240>
2.3524,104.6896,404.503,404.2198887,29,372.247,2,6,6,2,6,3,160,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f182c0>
3.5227,118.5406,446.584,446.2668389,32,408.28,2,6,6,2,6,6,178,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18340>
3.1326,113.9236,432.557,432.2511889,31,396.269,2,6,6,2,6,5,172,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f183c0>
2.2271,53.2847,163.264,163.1360995,12,146.128,1,1,1,1,1,3,66,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18440>
0.9154,47.3481,160.18,160.0748963,12,152.116,3,4,4,3,4,1,60,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f184c0>
1.5011,82.4638,299.37,299.1521435,22,278.202,1,4,4,1,4,1,116,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18540>
3.7878,90.871,308.381,308.1524779,23,288.221,0,4,2,0,4,5,118,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f185c0>
0.501,49.3237,198.222,198.1004423,14,184.11,1,5,3,1,5,2,78,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18640>
-0.3149,35.8906,137.142,137.0589118,10,130.086,3,4,3,3,4,1,52,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f186c0>
0.2654,76.9508,290.404,290.2194603,20,260.164,0,6,4,0,6,9,118,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18740>
3.1542,76.1952,261.365,261.172879,19,238.181,1,3,3,1,3,5,104,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f187c0>
1.22952,66.3089,270.339,270.0245176,17,260.259,3,6,6,3,8,3,90,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18840>
2.5238,70.6808,248.717,248.0828741,17,235.613,4,4,4,4,5,2,88,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f188c0>
1.7674,68.9249,236.315,236.1524779,17,216.155,2,4,4,2,4,6,94,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18940>
4.1949,88.971,303.833,303.138992,21,281.657,0,2,2,0,3,8,112,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f189c0>
0.4784,48.3808,183.207,183.0895433,13,170.103,5,4,4,5,4,2,72,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18a40>
0.0735,53.2011,238.159,238.0338193,17,232.111,1,9,6,1,9,3,88,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18ac0>
4.1949,88.971,303.833,303.138992,21,281.657,0,2,2,0,3,8,112,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18b40>
3.0804,76.4818,257.377,257.1779644,19,234.193,1,2,2,1,2,0,102,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18bc0>
4.7308,107.0834,368.497,368.2220202,27,338.257,0,4,3,0,4,6,144,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18c40>
1.7696,70.3384,252.273,252.0898776,19,240.177,2,4,2,2,4,2,94,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18cc0>
3.4026,82.038,290.794,290.1185909,20,271.642,0,3,3,0,4,6,106,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18d40>
2.8494,64.286,222.243,222.0680796,17,212.163,0,2,2,0,2,1,82,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18dc0>
1.0627,83.7282,318.393,318.1699847,23,294.201,1,5,4,1,5,4,124,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18e40>
1.1589,51.577,189.214,189.0789786,14,178.126,0,3,2,0,3,1,72,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18ec0>
2.5562,84.7109,294.395,294.1943427,21,268.187,2,5,5,2,5,9,118,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18f40>
3.4026,82.038,290.794,290.1185909,20,271.642,0,3,3,0,4,6,106,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f18fc0>
-0.8561,45.5859,222.251,221.9881321,13,216.203,3,7,6,3,9,2,72,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f19040>
3.9404,87.2048,287.447,287.2249145,21,258.215,1,2,2,1,2,5,116,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f190c0>
2.5478,58.808,216.192,216.0422587,16,208.128,0,4,4,0,4,1,80,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f19140>
1.01549,39.0734,152.182,152.0156671,10,148.15,2,4,3,2,5,0,50,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f191c0>
5.0196,96.396,312.482,312.1660198,22,288.29,0,2,3,0,3,5,116,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f19240>
4.1711,160.6872,608.688,608.2733809,44,568.368,1,11,10,1,11,8,236,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f192c0>
4.8944,92.194,318.873,318.0957473,21,299.721,0,2,3,0,4,4,110,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f19340>
3.8792,82.7168,288.431,288.2089301,21,260.207,1,2,2,1,2,0,116,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f193c0>
4.8401,96.881,344.495,344.2351449,25,312.239,0,3,3,0,3,2,138,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f19440>
-2.4418,83.3726,281.339,281.1396876,21,264.203,8,5,3,8,5,2,106,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f194c0>
0.5379,59.5634,218.256,218.1055277,16,204.144,2,4,2,2,4,2,84,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f19540>
3.6096,87.7318,308.333,308.104859,23,292.205,1,4,4,1,4,4,116,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f195c0>
4.7235,90.881,314.469,314.2245802,23,284.229,0,2,2,0,2,1,126,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f19640>
-1.4106,45.545,179.159,179.057449,13,172.103,0,6,5,0,6,0,68,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f196c0>
0.0423,225.2442,943.09,942.4824301,66,868.498,9,19,19,9,19,10,376,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f19740>
4.7211,98.2812,318.525,318.2791412,23,282.237,1,2,1,1,2,8,130,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f197c0>
2.2181,192.6108,780.949,780.4296067,55,716.437,6,14,14,6,14,7,312,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f19840>
-0.0891,31.3461,111.148,111.0796473,8,102.076,3,3,2,3,3,2,44,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f198c0>
2.6375,73.8898,240.435,240.2554519,17,208.179,0,2,0,0,2,6,100,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f19940>
-0.281,50.8256,246.306,246.0231802,14,232.194,0,6,6,0,8,7,86,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f199c0>
0.961,58.3834,224.26,224.1160924,16,208.132,2,5,3,2,5,4,88,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f19a40>
2.4208,73.9349,270.76,270.1135055,18,251.608,2,4,4,2,5,6,100,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f19ac0>
3.8181,200.7682,806.987,806.4452568,57,740.459,4,14,14,4,14,8,322,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f19b40>
