Compound Name,Number of H-bond donors,Number of H-bond acceptors,Molecular Weight,LogP,Meets
,2,2,412.658,6.6118,FALSE
,1,2,124.139,1.4008,TRUE
,0,3,472.754,9.05996,FALSE
_c001,2,5,284.381,2.16972,TRUE
,0,5,338.444,3.7177,TRUE
,16,16,1570.35,2.2727,FALSE
,2,3,327.468,4.1437,TRUE
,2,5,424.622,5.1223,FALSE
,2,14,620.735,2.29812,FALSE
Molecule-1,1,9,268.058,-3.6434,TRUE
,1,3,233.311,2.0853,TRUE
,1,15,519.448,3.0356,FALSE
,1,3,315.482,4.2657,TRUE
Molecule-1,2,3,254.289,1.5276,TRUE
,2,4,356.442,1.67,TRUE
,2,3,263.381,2.7326,TRUE
,2,3,263.381,2.7326,TRUE
,1,9,612.395,3.1023,FALSE
,1,3,152.149,1.1788,TRUE
,13,14,1096.347,0.8216,FALSE
,0,6,377.42,2.18094,TRUE
Molecule-1,3,9,444.423,0.91152,TRUE
_c001,1,7,456.322,4.2452,TRUE
,6,7,241.251,-1.7002,FALSE
Molecule-1,2,7,435.285,4.7174,TRUE
,1,7,508.558,3.5195,FALSE
Molecule-1,0,5,357.261,1.9299,TRUE
,11,24,1085.156,-0.24928,FALSE
,3,10,502.954,-0.7575,FALSE
,3,8,663.406,6.4217,FALSE
,1,7,493.561,1.1615,TRUE
,1,7,493.561,1.1615,TRUE
Molecule-1,6,8,502.796,0.4158,FALSE
Molecule-1,2,7,441.467,3.23014,TRUE
DEGARELIX_c001,17,18,1632.289,1.5147,FALSE
,1,4,411.586,5.3811,FALSE
Molecule-1,1,4,238.197,0.7035,TRUE
Molecule-1,0,5,286.264,2.115,TRUE
,2,3,250.298,0.4539,TRUE
,2,4,146.142,-1.4942,TRUE
,2,8,470.43,0.7487,TRUE
,1,1,108.14,1.1789,TRUE
,2,6,441.549,4.37426,TRUE
,0,6,404.507,2.423,TRUE
,3,5,389.886,1.2295,TRUE
,3,5,389.886,1.2295,TRUE
,3,5,389.886,1.2295,TRUE
,3,5,389.886,1.2295,TRUE
,3,5,389.886,1.2295,TRUE
,3,5,389.886,1.2295,TRUE
,4,4,239.315,1.9078,TRUE
,4,4,239.315,1.9078,TRUE
,1,3,233.311,2.0853,TRUE
,1,3,233.311,2.0853,TRUE
Molecule-1,0,6,426.488,4.8266,TRUE
,2,3,448.95,5.68314,FALSE
,1,6,392.838,1.81,TRUE
,0,5,373.449,3.891,TRUE
,2,5,420.46,3.1834,TRUE
_c001,2,4,315.417,1.15798,TRUE
,0,2,285.774,4.2585,TRUE
,1,3,128.151,-0.9702,TRUE
,0,5,387.887,2.8355,TRUE
,20,31,1752.634,0.0935,FALSE
,3,11,475.465,-1.6878,FALSE
Molecule-1,2,8,437.529,3.13904,TRUE
,4,8,540.708,1.4296,FALSE
,1,2,94.117,0.6638,TRUE
,2,5,188.139,-3.6967,TRUE
,0,4,317.748,2.4783,TRUE
,0,8,664.907,9.11352,FALSE
,0,8,664.907,9.11352,FALSE
_c001,1,2,349.518,5.3986,FALSE
,2,3,305.418,3.7896,TRUE
,1,9,285.2,-1.3152,TRUE
,2,3,448.95,5.68314,FALSE
,0,5,373.449,3.891,TRUE
,1,3,128.151,-0.9702,TRUE
,3,11,475.465,-1.6878,FALSE
,0,4,307.397,2.7792,TRUE
,1,3,311.425,3.83718,TRUE
,0,5,475.629,5.543,FALSE
,3,10,627.746,5.81227,FALSE
,3,3,307.478,3.2043,TRUE
,5,11,457.447,-2.9271,FALSE
,2,16,682.684,-1.379,FALSE
,0,6,492.689,4.2558,TRUE
,3,14,835.944,4.5678,FALSE
,2,12,729.908,3.438,FALSE
,3,4,303.337,3.5884,TRUE
,1,6,328.385,1.3483,TRUE
,1,6,328.385,1.3483,TRUE
,1,6,475.362,5.0042,FALSE
,1,4,403.212,5.0309,FALSE
,2,5,441.535,4.02958,TRUE
,1,11,568.542,4.70522,FALSE
,1,10,472.553,1.14742,TRUE
_c001,7,18,1058.052,6.2344,FALSE
,4,8,679.863,2.4459,FALSE
,2,6,366.428,4.9891,TRUE
,4,5,519.687,1.7112,FALSE
,4,5,519.687,1.7112,FALSE
,0,3,391.555,5.9694,FALSE
,1,3,139.154,0.39932,TRUE
,17,15,1306.564,-11.1877,FALSE
,4,4,392.499,3.1489,TRUE
,1,6,435.889,2.5199,TRUE
_c001,4,11,522.578,2.0137,FALSE
,0,2,300.745,3.3712,TRUE
,1,5,306.373,3.46638,TRUE
,2,4,386.48,4.6391,TRUE
,2,4,489.931,5.5442,FALSE
,2,5,452.538,4.683,TRUE
,2,6,450.345,5.0377,FALSE
,3,6,430.541,2.3323,TRUE
,3,3,392.499,5.081,FALSE
,1,4,421.305,4.7112,TRUE
_c001,2,5,409.449,2.4813,TRUE
_c001,8,17,987.961,5.0275,FALSE
_c001,1,8,455.45,2.8571,TRUE
_c001,1,5,419.211,4.1635,TRUE
_c001,2,6,385.441,2.0573,TRUE
_c001,3,7,471.521,-0.1684,TRUE
_c001,1,5,461.602,5.5187,FALSE
_c001,0,5,322.388,1.3302,TRUE
_c001,1,5,348.419,1.5263,TRUE
_c001,1,5,348.419,1.5263,TRUE
_c001,1,5,348.419,1.5263,TRUE
_c001,1,5,348.419,1.5263,TRUE
_c001,3,5,331.416,0.27288,TRUE
_c001,2,6,441.549,4.37426,TRUE
_c001,2,6,441.549,4.37426,TRUE
_c001,2,3,341.495,4.5253,TRUE
_c001,2,6,466.521,2.9487,TRUE
_c001,1,7,456.322,4.2452,TRUE
_c001,1,4,254.265,0.7922,TRUE
_c001,2,12,505.583,-0.04198,FALSE
_c001,2,5,381.533,2.9206,TRUE
_c001,2,5,284.381,2.16972,TRUE
_c001,4,4,444.656,4.8416,TRUE
_c001,1,8,439.455,2.6939,TRUE
_c001,2,4,181.162,-1.5622,TRUE
_c001,1,3,440.411,5.182,FALSE
_c001,1,3,325.452,3.9333,TRUE
_c001,2,5,283.348,-0.5278,TRUE
_c001,1,4,555.868,6.3414,FALSE
_c001,2,8,460.56,1.2687,TRUE
_c001,1,6,354.835,1.2345,TRUE
_c001,1,6,354.835,1.2345,TRUE
_c001,2,14,604.721,-0.0374,FALSE
_c001,1,4,295.411,3.1347,TRUE
_c001,2,4,326.396,2.3108,TRUE
_c001,2,4,326.396,2.3108,TRUE
_c001,2,6,464.986,3.1259,TRUE
_c001,1,6,459.506,2.6996,TRUE
_c001,2,3,693.732,8.3821,FALSE
_c001,0,2,330.512,6.4712,FALSE
_c001,0,2,301.45,4.658,TRUE
_c001,1,1,195.693,2.5892,TRUE
_c001,2,6,501.514,5.5408,FALSE
_c001,9,11,1047.227,3.3685,FALSE
_c001,2,3,270.21,2.99948,TRUE
_c001,0,4,349.393,4.43818,TRUE
_c001,4,8,719.924,2.5835,FALSE
_c001,17,28,1524.751,-8.6086,FALSE
_c001,15,26,1361.575,-9.0417,FALSE
_c001,4,6,396.516,2.7722,TRUE
_c001,3,9,483.96,2.4318,TRUE
_c001,3,4,482.821,5.6888,FALSE
_c001,1,6,446.882,2.9463,TRUE
_c001,3,10,776.042,6.0007,FALSE
_c001,1,6,484.663,4.6668,TRUE
_c001,1,5,312.377,1.54478,TRUE
_c001,1,4,464.444,3.99248,TRUE
_c001,1,4,450.417,3.73178,TRUE
_c001,1,8,530.456,5.19038,FALSE
_c001,1,6,532.57,4.45602,FALSE
_c001,2,10,545.629,2.5807,FALSE
_c001,1,4,555.516,7.1305,FALSE
_c001,2,5,273.248,-0.33,TRUE
_c001,1,2,378.899,5.6457,FALSE
_c001,2,7,519.574,5.3649,FALSE
_c001,2,5,273.248,-0.33,TRUE
_c001,2,8,615.403,3.94012,FALSE
_c001,2,7,437.451,2.625,TRUE
_c001,1,7,339.399,0.39448,TRUE
_c001,4,6,444.524,2.96832,TRUE
_c001,0,6,530.661,6.0533,FALSE
_c001,4,6,486.436,4.6081,TRUE
_c001,0,2,223.296,1.9437,TRUE
_c001,0,2,135.142,-0.021,TRUE
_c001,2,3,277.323,3.673,TRUE
_c001,1,2,295.304,4.1743,TRUE
_c001,1,2,295.304,4.1743,TRUE
_c001,3,5,308.378,1.5853,TRUE
_c001,3,5,308.378,1.5853,TRUE
_c001,0,4,123.091,-1.1599,TRUE
_c001,2,9,422.424,2.4427,TRUE
_c001,2,8,588.282,3.5727,FALSE
_c001,2,8,546.201,2.5318,FALSE
_c001,1,3,298.455,3.86424,TRUE
_c001,2,7,485.947,4.3899,TRUE
_c001,1,2,246.354,1.7714,TRUE
_c001,2,2,254.289,2.4929,TRUE
_c001,1,3,296.326,3.0637,TRUE
_c001,2,6,419.384,1.3528,TRUE
_c001,1,7,440.507,4.2173,TRUE
_c001,0,4,129.091,-1.5345,TRUE
_c001,0,4,144.126,-0.1114,TRUE
_c001,3,10,529.458,1.6565,FALSE
_c001,2,15,496.126,-3.6616,FALSE
_c001,2,10,749.956,5.25412,FALSE
_c001,1,2,428.596,5.14,FALSE
_c001,2,5,470.613,6.33102,FALSE
_c001,0,5,354.287,5.06088,FALSE
_c001,1,10,582.816,4.049,FALSE
_c001,2,11,426.456,-1.8739,FALSE
_c001,3,7,388.425,-0.628,TRUE
_c001,2,11,461.505,-1.5603,FALSE
_c001,6,11,529.542,0.8207,FALSE
_c001,1,4,319.445,3.0299,TRUE
_c001,1,4,319.445,3.0299,TRUE
_c001,4,19,519.149,-4.4514,FALSE
_c001,3,16,513.189,-3.0048,FALSE
_c001,2,17,539.586,-2.5264,FALSE
_c001,2,6,470.606,3.497,TRUE
_c001,2,6,265.25,2.0092,TRUE
_c001,1,9,271.173,-1.7037,TRUE
_c001,3,17,491.139,-4.1479,FALSE
_c001,3,17,491.139,-4.1479,FALSE
_c001,2,8,445.503,2.3219,TRUE
_c001,3,6,457.465,2.2257,TRUE
_c001,2,3,326.827,3.7245,TRUE
_c001,2,5,251.721,1.5255,TRUE
_c001,3,4,168.16,-0.2733,TRUE
_c001,7,14,835.008,5.07742,FALSE
_c001,2,2,254.289,2.4929,TRUE
_c001,2,9,324.157,-2.8306,TRUE
_c001,2,15,482.099,-3.8606,FALSE
_c001,2,4,281.337,2.2588,TRUE
_c001,1,1,265.828,4.3958,TRUE
_c001,1,1,265.828,4.3958,TRUE
_c001,1,1,251.801,4.1351,TRUE
_c001,1,1,251.801,4.1351,TRUE
_c001,3,16,489.167,-3.4843,FALSE
_c001,3,16,489.167,-3.4843,FALSE
_c001,2,12,356.144,-3.4408,FALSE
_c001,0,4,322.409,2.6183,TRUE
_c001,3,5,389.512,1.9847,TRUE
_c001,1,16,465.166,-2.7711,FALSE
_c001,1,6,400.475,-0.3746,TRUE
_c001,2,13,420.134,-2.9506,FALSE
_c001,2,16,499.105,-3.4656,FALSE
_c001,2,16,461.113,-3.5088,FALSE
,1,7,435.895,3.138,TRUE
_c001,1,7,388.42,3.2018,TRUE
_c001,2,7,467.542,1.7582,TRUE
_c001,2,3,249.354,2.3316,TRUE
_c001,1,3,263.381,2.6346,TRUE
_c001,2,3,249.354,2.3316,TRUE
_c001,1,3,263.381,2.6346,TRUE
_c001,2,3,249.354,2.3316,TRUE
_c001,1,3,263.381,2.6346,TRUE
_c001,2,3,249.354,2.3316,TRUE
_c001,1,8,436.555,-0.7571,TRUE
_c001,2,17,521.596,-2.4744,FALSE
_c001,3,3,134.248,-0.1454,TRUE
_c001,1,15,447.126,-2.6816,FALSE
_c001,1,6,338.404,-1.2073,TRUE
_c001,1,15,472.136,-2.3875,FALSE
_c001,3,18,521.14,-4.0179,FALSE
_c001,4,9,285.235,-1.8409,TRUE
_c001,1,4,296.799,1.5204,TRUE
_c001,1,4,296.799,1.5204,TRUE
_c001,2,4,428.903,3.0902,TRUE
_c001,1,4,434.493,2.827,TRUE
_c001,1,2,300.833,4.1862,TRUE
_c001,1,6,386.448,-0.7647,TRUE
_c001,1,6,408.454,-0.5808,TRUE
_c001,1,6,394.427,-0.5748,TRUE
_c001,2,6,435.581,2.771,TRUE
_c001,2,6,282.386,0.1434,TRUE
_c001,2,6,421.554,2.3809,TRUE
_c001,0,3,215.228,1.1408,TRUE
_c001,2,5,367.506,2.5305,TRUE
_c001,4,4,328.412,2.1354,TRUE
_c001,4,4,328.412,2.1354,TRUE
_c001,4,4,328.412,2.1354,TRUE
_c001,2,4,292.213,2.323,TRUE
_c001,3,8,289.317,-0.83353,TRUE
_c001,1,2,357.497,5.6539,FALSE
_c001,0,3,339.411,4.0153,TRUE
_c001,1,2,270.719,3.1295,TRUE
_c001,1,5,492.591,5.6295,FALSE
_c001,20,30,1815.708,2.8333,FALSE
_c001,1,5,348.397,2.4846,TRUE
_c001,1,2,151.933,0.0434,TRUE
_c001,19,29,1792.117,3.1605,FALSE
_c001,1,7,460.508,2.4342,TRUE
_c001,1,8,370.344,1.3957,TRUE
_c001,0,11,448.307,0.2487,FALSE
_c001,0,3,456.711,7.9609,FALSE
_c001,4,6,408.878,1.8444,TRUE
_c001,4,7,450.915,1.6134,TRUE
_c001,0,7,450.93,4.11132,TRUE
_c001,4,6,212.181,-1.7916,TRUE
_c001,5,4,328.413,-3.2938,TRUE
_c001,1,8,397.386,-0.11232,TRUE
_c001,6,17,665.695,-5.238,FALSE
_c001,0,4,578.601,6.78702,FALSE
_c001,2,12,651.794,1.8635,FALSE
_c001,2,5,404.551,3.4323,TRUE
_c001,3,4,318.354,2.006,TRUE
_c001,2,7,415.432,3.7543,TRUE
_c001,4,8,889.017,8.6073,FALSE
_c001,0,4,407.576,5.6755,FALSE
_c001,4,9,894.127,7.6871,FALSE
_c001,3,10,765.893,3.63692,FALSE
_c001,2,6,493.585,4.0236,TRUE
_c001,1,2,245.322,2.2512,TRUE
_c001,1,4,434.471,2.3474,TRUE
_c001,3,8,558.148,6.36192,FALSE
_c001,0,2,185.226,2.14592,TRUE
_c001,2,7,539.636,3.6159,FALSE
_c001,4,6,386.448,2.376,TRUE
_c001,3,8,548.069,1.2896,FALSE
_c001,2,5,265.247,-1.5253,TRUE
_c001,4,3,349.434,3.32722,TRUE
_c001,2,9,447.543,2.96582,TRUE
_c001,3,5,426.86,4.0719,TRUE
_c001,1,2,265.356,3.6202,TRUE
_c001,1,2,265.356,3.6202,TRUE
_c001,0,2,279.383,3.9624,TRUE
_c001,3,17,479.124,-4.74,FALSE
_c001,1,2,288.709,3.2686,TRUE
_c001,1,2,252.273,3.0294,TRUE
_c001,0,2,405.969,6.5626,FALSE
_c001,0,3,213.64,1.2473,TRUE
_c001,3,3,152.113,-1.0605,TRUE
_c001,1,6,247.23,-0.7278,TRUE
_c001,3,4,326.418,2.0605,TRUE
_c001,3,4,326.418,2.0605,TRUE
_c001,4,12,377.275,-2.46441,FALSE
_c001,2,3,242.344,1.3499,TRUE
_c001,0,0,197.381,2.5085,TRUE
_c001,1,2,189.214,0.9908,TRUE
_c001,1,2,189.214,0.9908,TRUE
_c001,1,2,177.247,1.736,TRUE
_c001,1,2,177.247,1.736,TRUE
_c001,1,2,177.247,1.736,TRUE
_c001,1,2,183.251,1.1278,TRUE
_c001,2,3,224.26,0.961,TRUE
_c001,0,2,189.214,1.1589,TRUE
_c001,1,3,137.114,-0.2443,TRUE
_c001,2,5,360.45,1.9898,TRUE
_c001,3,4,327.815,4.4469,TRUE
_c001,1,3,129.115,0.0314,TRUE
_c001,2,3,212.249,0.7949,TRUE
_c001,1,5,360.429,3.6752,TRUE
_c001,2,4,274.32,3.8497,TRUE
_c001,1,4,359.441,4.2802,TRUE
_c001,3,19,772.334,0.3225,FALSE
_c001,1,5,485.506,5.82152,FALSE
_c001,1,5,433.577,4.724,TRUE
_c001,3,5,407.571,2.114,TRUE
_c001,1,6,451.405,3.41232,TRUE
_c001,0,6,468.594,3.31,TRUE
_c001,2,4,391.572,3.1432,TRUE
_c001,4,8,738.89,6.222,FALSE
_c001,3,7,568.654,2.82434,FALSE
_c001,2,12,717.779,4.58458,FALSE
_c001,1,7,437.475,4.24298,TRUE
_c001,1,5,410.49,2.5003,TRUE
_c001,1,5,381.428,0.6871,TRUE
_c001,1,3,330.468,3.6959,TRUE
O=C(O)CCSC[C@H]1O[C@@H]2O[C@@H]9[C@@H](CSCCC(=O)O)O[C@H](O[C@@H]8[C@@H](CSCC...,16,56,1994.112,-18.3592,FALSE
_c001,1,4,390.409,3.1706,TRUE
_c001,1,3,427.42,4.3355,TRUE
_c001,2,3,413.393,3.9933,TRUE
_c001,2,3,399.366,3.7326,TRUE
_c001,0,3,284.408,3.8626,TRUE
_c001,1,4,285.416,4.0268,TRUE
_c001,1,2,212.293,0.8989,TRUE
_c001,3,4,531.316,3.7811,FALSE
_c001,2,3,500.483,5.7295,FALSE
_c001,1,3,427.564,4.6665,TRUE
_c001,2,3,413.537,4.3243,TRUE
_c001,0,6,660.727,8.6754,FALSE
_c001,2,10,476.474,2.9729,TRUE
_c001,1,7,496.633,3.898,TRUE
_c001,1,5,418.541,4.3075,TRUE
_c001,4,15,761.85,3.41324,FALSE
_c001,3,3,242.666,0.28967,TRUE
_c001,0,6,403.281,2.9024,TRUE
_c001,2,4,419.626,3.7793,TRUE
_c001,2,8,499.619,4.5098,TRUE
_c001,1,10,370.314,-1.1395,TRUE
_c001,4,7,244.203,-2.8519,TRUE
_c001,4,10,882.035,8.116,FALSE
_c001,3,11,766.918,3.3019,FALSE
_c001,2,2,165.236,1.3279,TRUE
_c001,4,10,883.019,7.7315,FALSE
_c001,1,5,482.628,4.77328,TRUE
_c001,4,4,361.034,1.2661,TRUE
_c001,2,9,515.111,-1.1263,FALSE
_c001,3,11,868.457,8.6599,FALSE
,1,4,251.05,1.56828,TRUE
,1,7,614.483,3.4326,FALSE
,1,2,288.431,3.8792,TRUE
,3,2,323.371,2.9793,TRUE
,2,3,302.349,2.3681,TRUE
,1,6,570.649,5.9068,FALSE
,2,6,556.622,5.2527,FALSE
,2,7,586.648,5.3977,FALSE
,2,8,557.054,5.93248,FALSE
,3,5,451.914,4.13517,TRUE
,21,13,1051.297,-15.842,FALSE
,2,4,320.396,2.5914,TRUE
,2,4,145.138,-2.6709,TRUE
,2,8,439.757,0.583,TRUE
,3,8,473.381,4.2926,TRUE
,1,7,441.524,2.5632,TRUE
,2,6,399.487,1.9924,TRUE
,19,31,1677.883,-13.4871,FALSE
,2,9,584.105,5.09,FALSE
,2,9,545.929,3.17542,FALSE
,2,9,574.991,4.98862,FALSE
,4,9,570.646,3.4798,FALSE
,2,8,434.548,2.7964,TRUE
,0,2,174.203,1.7992,TRUE
,3,11,868.948,4.9565,FALSE
,1,6,418.578,3.5641,TRUE
,1,4,319.445,3.0299,TRUE
,3,11,838.878,3.8568,FALSE
,4,12,1113.199,9.4475,FALSE
,2,7,586.648,5.3977,FALSE
,5,11,471.43,-3.4005,FALSE
,7,27,1409.398,2.42272,FALSE
,3,11,738.3,3.8344,FALSE
,4,8,717.993,3.5298,FALSE
,6,4,474.565,1.8448,FALSE
,3,8,507.624,3.7665,FALSE
,1,7,371.426,1.09568,TRUE
,2,5,453.542,4.88964,TRUE
,3,4,321.38,2.4081,TRUE
,0,5,403.478,3.715,TRUE
,1,8,506.605,4.93692,FALSE
,1,6,362.409,2.42044,TRUE
,1,3,259.136,2.7624,TRUE
,1,3,259.136,2.7624,TRUE
,2,14,578.45,1.8305,FALSE
,3,10,470.461,3.6332,TRUE
,12,14,1045.189,-5.5941,FALSE
[CH3:6][c:2]1[n:3][cH:4][c:5]([N:11](=[O:13])=[O:12])[n:1]1[CH2:7][C@H:8]([C...,1,5,185.183,0.48052,TRUE
Cc1ncc(N(=O)=O)n1C[C@@H](C)O,1,5,185.183,0.48052,TRUE
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,1,5,260.253,1.1077,TRUE
,2,6,296.133,-0.8859,TRUE
,4,7,436.888,1.3565,TRUE
,2,11,480.529,0.6618,FALSE
,0,8,571.551,4.3727,FALSE
,0,5,303.358,1.8677,TRUE
,1,10,648.662,5.2467,FALSE
,2,6,449.385,1.6344,TRUE
,2,7,465.517,3.3126,TRUE
,4,7,520.504,3.3953,FALSE
,0,7,687.598,5.10462,FALSE
,1,5,477.443,3.53158,TRUE
,1,5,463.416,3.27088,TRUE
,1,3,234.295,2.8355,TRUE
,1,3,234.295,2.8355,TRUE
,2,3,109.132,0.246,TRUE
,5,5,163.173,-2.9668,TRUE
,1,3,376.334,2.4033,TRUE
,1,3,359.665,6.0373,FALSE
,1,3,375.664,5.0528,FALSE
,1,4,391.663,4.7189,TRUE
,5,10,487.509,0.1138,TRUE
,0,4,370.489,4.1852,TRUE
,6,10,556.66,1.3223,FALSE
,0,5,515.596,5.438,FALSE
,2,5,367.877,2.0878,TRUE
,11,15,592.691,-5.3611,FALSE
,1,3,318.437,2.4563,TRUE
,1,3,318.437,2.4563,TRUE
,1,3,318.437,2.4563,TRUE
,2,2,314.469,5.8465,FALSE
,3,3,330.468,4.8189,TRUE
,1,8,630.59,4.20032,FALSE
,3,9,540.021,3.9084,FALSE
,3,6,441.232,3.0113,TRUE
,2,6,463.5,5.91082,FALSE
,2,6,463.5,5.91082,FALSE
,2,6,597.76,4.836,FALSE
,1,7,597.736,4.1006,FALSE
,3,4,374.448,3.39158,TRUE
,1,7,425.754,2.65458,TRUE
,0,10,571.558,3.3912,FALSE
,1,7,483.496,2.9775,TRUE
,2,6,428.443,2.9475,TRUE
,2,9,639.83,5.7289,FALSE
,1,7,406.421,2.80068,TRUE
,6,12,697.778,4.75412,FALSE
,1,7,590.549,7.1889,FALSE
,6,10,558.563,0.294,FALSE
,2,6,416.872,4.4835,TRUE
,1,6,582.97,4.32458,FALSE
,2,3,194.234,0.6517,TRUE
,2,6,469.948,5.1551,FALSE
,3,10,552.724,2.6972,FALSE
,1,2,318.501,4.5952,TRUE
,2,6,380.358,2.6285,TRUE
,0,4,307.112,3.1651,TRUE
,1,8,446.555,4.1836,TRUE
,2,5,441.479,3.83502,TRUE
,0,8,384.436,2.1241,TRUE
,5,15,751.22,-1.5164,FALSE
,0,4,393.506,3.9165,TRUE
,2,6,369.487,1.2851,TRUE
,2,6,369.487,1.2851,TRUE
,2,7,404.47,3.63168,TRUE
,0,6,359.385,4.19138,TRUE
,1,6,361.401,4.04208,TRUE
,1,6,361.401,4.04208,TRUE
,13,11,1025.182,-3.5937,FALSE
,22,21,1646.874,-7.2541,FALSE
,0,2,295.854,4.1652,TRUE
,1,4,377.366,3.2757,TRUE
,1,5,458.578,4.6529,TRUE
,1,5,342.476,1.8005,TRUE
,3,7,507.737,3.8668,FALSE
,2,4,380.374,2.9079,TRUE
,2,6,572.75,4.73466,FALSE
,2,5,549.553,3.5306,FALSE
,6,12,1145.07,6.1566,FALSE
,2,4,417.822,5.228,FALSE
,0,6,255.226,-0.5922,TRUE
,1,5,410.424,3.74204,TRUE
,3,6,398.854,2.67008,TRUE
,3,6,398.854,2.67008,TRUE
,2,6,396.838,2.81938,TRUE
,1,1,231.261,3.2459,TRUE
,1,1,231.261,3.2459,TRUE
,1,1,203.207,2.5951,TRUE
,1,1,203.207,2.5951,TRUE
,1,2,263.275,3.9172,TRUE
,1,10,597.664,4.02002,FALSE
,0,6,439.313,4.18352,TRUE
,2,7,443.311,3.3867,TRUE
,3,8,524.691,4.82362,FALSE
Cc1c(Cl)c(C)n(=O)c(Cl)c1c3noc(c2cc(O)c(O)c(N(=O)=O)c2)n3,2,8,413.173,3.28004,TRUE
,4,5,268.216,-1.5665,TRUE
,1,10,498.57,2.6077,TRUE
,3,6,560.649,5.0269,FALSE
,4,6,546.622,4.6847,FALSE
,2,7,534.567,4.49,FALSE
,0,3,227.242,2.42948,TRUE
,3,6,348.381,-1.1424,TRUE
,1,6,267.676,1.1631,TRUE
,0,7,359.26,2.6677,TRUE
,0,13,581.482,-0.09588,FALSE
,1,8,473.493,1.62792,TRUE
,0,8,383.417,1.2677,TRUE
,1,6,337.379,3.6231,TRUE
,2,6,471.561,4.2226,TRUE
,1,10,525.613,3.28438,FALSE
,2,10,480.532,5.09352,FALSE
,1,6,412.428,3.429,TRUE
,0,6,428.61,5.8958,FALSE
,0,2,129.179,0.7067,TRUE
[H][C@@]69SC[C@]1(NCCc2c1[nH]c3ccc(OC)cc23)C(=O)OCC(c5c4OCOc4c(C)c(OC(C)=O)c...,4,14,784.888,4.18894,FALSE
,1,6,487.507,3.657,TRUE
,3,6,457.687,3.5256,TRUE
,4,5,443.66,3.5152,TRUE
,3,5,510.367,5.6707,FALSE
,3,5,496.34,5.2112,FALSE
,2,7,392.411,2.3476,TRUE
,2,7,435.455,2.47312,TRUE
,1,5,386.561,4.6926,TRUE
,1,4,237.299,1.4525,TRUE
,1,4,237.299,1.4525,TRUE
,2,6,405.357,0.9627,TRUE
,2,7,454.87,5.63812,FALSE
,2,8,499.52,-0.2799,TRUE
,3,6,444.535,2.766,TRUE
,1,8,571.559,6.6627,FALSE
,1,5,431.536,3.3185,TRUE
,3,5,370.449,1.2534,TRUE
,1,5,402.531,3.7717,TRUE
,0,7,287.297,0.6406,TRUE
,0,7,287.297,0.6406,TRUE
,2,6,460.983,4.26732,TRUE
,1,8,401.474,1.96324,TRUE
,5,12,1214.646,3.4351,FALSE
,3,9,533.612,4.20014,FALSE
,17,12,1119.35,-6.3954,FALSE
,1,3,638.832,5.9099,FALSE
,6,12,362.215,-3.1523,FALSE
,3,6,562.571,5.70188,FALSE
,0,8,492.583,4.00788,TRUE
,4,4,304.386,1.5508,TRUE
,2,8,446.559,2.7245,TRUE
,3,9,426.387,2.5575,TRUE
,2,5,498.426,3.2701,TRUE
,2,10,560.693,4.6185,FALSE
,2,11,623.642,3.7505,FALSE
,2,8,560.486,5.3544,FALSE
,1,8,560.605,4.48142,FALSE
,4,13,602.585,2.31218,FALSE
,4,9,291.267,-1.85672,TRUE
,1,9,729.043,7.2837,FALSE
,2,11,924.17,2.4933,FALSE
,0,8,584.673,6.0003,FALSE
,1,7,472.589,4.4668,TRUE
,2,5,323.422,1.2545,TRUE
,3,6,339.421,0.2253,TRUE
,3,6,339.421,0.2253,TRUE
,0,7,531.44,4.2058,FALSE
,0,6,279.321,2.6292,TRUE
,0,6,295.32,1.6447,TRUE
,0,7,311.319,1.3108,TRUE
,2,3,581.654,8.04804,FALSE
,1,6,674.972,6.6245,FALSE
,3,6,452.518,4.8201,TRUE
,6,9,678.855,-0.5016,FALSE
,1,6,450.93,4.26542,TRUE
,2,4,273.336,2.2906,TRUE
,1,5,345.399,2.6456,TRUE
,2,5,603.523,3.9479,FALSE
,2,2,254.329,4.3916,TRUE
,2,10,585.709,5.075,FALSE
,3,10,571.682,4.7328,FALSE
,3,9,571.682,5.0646,FALSE
,2,6,378.432,2.9857,TRUE
,3,6,449.845,3.4629,TRUE
,1,5,383.347,3.28888,TRUE
,4,10,739.937,4.5443,FALSE
,4,7,376.24,1.7749,TRUE
,1,7,527.4,4.6342,FALSE
,1,2,332.528,4.9853,TRUE
,1,5,450.564,3.2034,TRUE
,16,19,1227.395,-6.9805,FALSE
,4,7,464.942,2.0035,TRUE
,1,8,418.457,1.7849,TRUE
,3,9,425.4673053,1.7324,TRUE
,4,8,411.4403053,1.722,TRUE
,1,9,520.615,3.4169,FALSE
,1,9,477.526,1.2152,TRUE
,2,5,354.797,2.92498,TRUE
,2,4,285.351,1.9353,TRUE
,2,3,232.239,0.7004,TRUE
,2,10,968.296,7.6628,FALSE
,3,6,479.434,3.4322,TRUE
,3,6,424.946,3.1726,TRUE
,0,8,604.13,4.73298,FALSE
,3,6,638.817,3.45152,FALSE
,1,7,592.762,6.53944,FALSE
,0,7,358.402,2.46112,TRUE
,4,5,499.714,3.3973,TRUE
,1,4,554.722,6.72978,FALSE
,1,6,392.432,-0.0751,TRUE
,2,5,277.258,-1.3592,TRUE
,2,7,313.31,-3.909,TRUE
,3,5,499.534,1.09718,TRUE
