Compound Name,Number of H-bond donors,Number of H-bond acceptors,Molecular Weight,LogP,Meets
_c001,1,1,133.194,1.5012,TRUE
,1,2,141.17,0.4492,TRUE
,0,4,340.492,4.8321,TRUE
,1,6,399.443,2.8716,TRUE
,2,2,165.236,1.3279,TRUE
,1,4,289.375,1.9309,TRUE
,0,1,239.362,3.7496,TRUE
,3,4,167.197,0.59769,TRUE
,1,4,289.375,1.9309,TRUE
,0,4,452.598,5.48328,FALSE
,2,2,194.274,3.2206,TRUE
_c001,0,2,315.869,5.188,FALSE
,2,5,360.244,0.5983,TRUE
,1,3,324.38,3.4934,TRUE
,1,5,171.156,0.09202,TRUE
,0,1,287.406,4.6979,TRUE
,3,5,392.467,1.8957,TRUE
,2,6,434.504,2.4665,TRUE
,2,6,476.585,3.6368,TRUE
,3,12,810.989,3.9909,FALSE
_c001,0,3,228.247,3.46446,TRUE
,0,1,277.411,4.1686,TRUE
,2,5,253.283,1.36602,TRUE
,0,5,399.629,5.0388,FALSE
_c001,2,6,452.494,2.3668,TRUE
_c001,2,6,436.52,2.4987,TRUE
,1,3,318.437,2.4563,TRUE
,4,12,504.636,-0.0176,FALSE
,2,6,439.89,1.655,TRUE
,2,3,252.101,0.3472,TRUE
,0,3,226.279,2.6371,TRUE
,1,2,166.249,1.2782,TRUE
,0,1,164.966,2.0293,TRUE
,3,5,389.886,1.2295,TRUE
,3,7,253.269,0.8334,TRUE
,1,3,221.256,1.79064,TRUE
,0,2,284.746,3.1538,TRUE
,3,4,289.744,0.8788,TRUE
,2,5,213.244,2.6614,TRUE
,2,4,324.402,2.2098,TRUE
,3,5,210.209,-0.8924,TRUE
,3,5,239.271,0.9208,TRUE
_c001,0,3,267.413,3.3712,TRUE
,0,1,159.232,1.7516,TRUE
,2,4,162.19,-1.8292,TRUE
,1,2,266.388,3.5328,TRUE
,1,3,306.446,3.5431,TRUE
,3,6,354.1,-1.2181,TRUE
,1,1,288.475,5.0903,FALSE
_c001,3,12,824.972,3.5175,FALSE
,1,2,137.162,0.3192,TRUE
,0,5,231.231,0.08832,TRUE
_c001,1,10,616.833,4.4836,FALSE
,1,1,263.384,3.8264,TRUE
,1,4,304.197,0.5903,TRUE
,1,1,183.682,2.6198,TRUE
,2,2,220.316,2.32162,TRUE
,0,3,378.516,3.1733,TRUE
,1,3,240.282,2.41054,TRUE
,1,3,130.167,-0.7446,TRUE
